local,visitante,gol_local,gol_visitante
Banfield,Platense,0,2
Belgrano,Sarmiento (J),0,0
Central Córdoba (SdE),Arsenal,1,0
Lanús,Arsenal,3,0
Platense,Instituto,1,0
Talleres (C),Barracas Central,3,0
Vélez Sarsfield,Banfield,3,3
Sarmiento (J),Argentinos Juniors,2,0
Gimnasia y Esgrima (LP),Racing Club,3,1
Unión,Belgrano,0,3
Atlético Tucumán,San Lorenzo,1,3
Defensa y Justicia,Central Córdoba (SdE),1,2
Godoy Cruz,Tigre,1,1
Independiente,Estudiantes (LP),1,2
Newell's Old Boys,Rosario Central,0,0
Huracán,River Plate,0,3
Boca Juniors,Colón,1,2
Barracas Central,Platense,1,0
Argentinos Juniors,Unión,5,1
Central Córdoba (SdE),Lanús,1,1
Banfield,Defensa y Justicia,0,3
Instituto,Vélez Sarsfield,1,0
San Lorenzo,Boca Juniors,1,0
Belgrano,Huracán,2,0
Racing Club,Newell's Old Boys,0,1
Estudiantes (LP),Atlético Tucumán,0,0
Rosario Central,Independiente,1,0
Arsenal,Godoy Cruz,2,3
Colón,Talleres (C),2,2
River Plate,Gimnasia y Esgrima (LP),3,0
Tigre,Sarmiento (J),1,0
Defensa y Justicia,Instituto,1,0
Boca Juniors,Estudiantes (LP),0,1
Gimnasia y Esgrima (LP),Belgrano,0,2
Huracán,Argentinos Juniors,0,0
Unión,Tigre,0,0
Vélez Sarsfield,Barracas Central,0,0
Independiente,Racing Club,1,1
Newell's Old Boys,River Plate,0,1
Talleres (C),San Lorenzo,0,0
Platense,Colón,0,0
Sarmiento (J),Arsenal,1,0
Banfield,Central Córdoba (SdE),1,0
Godoy Cruz,Lanús,4,4
Atlético Tucumán,Rosario Central,2,2
Colón,Vélez Sarsfield,2,1
Lanús,Sarmiento (J),2,1
Arsenal,Unión,2,1
Central Córdoba (SdE),Godoy Cruz,0,2
Belgrano,Newell's Old Boys,1,0
San Lorenzo,Platense,1,0
Rosario Central,Boca Juniors,2,2
Instituto,Banfield,1,1
Estudiantes (LP),Talleres (C),1,0
River Plate,Independiente,2,0
Barracas Central,Defensa y Justicia,0,2
Racing Club,Atlético Tucumán,1,3
Argentinos Juniors,Gimnasia y Esgrima (LP),2,4
Tigre,Huracán,1,0
Sarmiento (J),Godoy Cruz,1,1
Platense,Estudiantes (LP),1,2
Huracán,Arsenal,2,1
Newell's Old Boys,Argentinos Juniors,0,0
Atlético Tucumán,River Plate,1,1
Vélez Sarsfield,San Lorenzo,0,0
Gimnasia y Esgrima (LP),Tigre,1,1
Banfield,Barracas Central,0,0
Instituto,Central Córdoba (SdE),0,2
Boca Juniors,Racing Club,3,1
Defensa y Justicia,Colón,2,0
Independiente,Belgrano,2,0
Talleres (C),Rosario Central,3,1
Unión,Lanús,1,1
Barracas Central,Instituto,3,0
Godoy Cruz,Unión,0,0
Lanús,Huracán,1,0
Belgrano,Atlético Tucumán,1,0
Colón,Banfield,2,0
Argentinos Juniors,Independiente,2,2
Rosario Central,Platense,4,0
River Plate,Boca Juniors,1,0
Tigre,Newell's Old Boys,2,2
Estudiantes (LP),Vélez Sarsfield,2,0
Arsenal,Gimnasia y Esgrima (LP),0,1
San Lorenzo,Defensa y Justicia,0,0
Racing Club,Talleres (C),2,4
Central Córdoba (SdE),Sarmiento (J),0,1
Huracán,Godoy Cruz,0,0
Atlético Tucumán,Argentinos Juniors,1,2
Independiente,Tigre,2,1
Banfield,San Lorenzo,1,2
Newell's Old Boys,Arsenal,2,0
Instituto,Colón,1,0
Defensa y Justicia,Estudiantes (LP),1,1
Platense,Racing Club,3,0
Boca Juniors,Belgrano,2,0
Talleres (C),River Plate,2,1
Barracas Central,Central Córdoba (SdE),2,2
Unión,Sarmiento (J),0,2
Gimnasia y Esgrima (LP),Lanús,1,0
Vélez Sarsfield,Rosario Central,0,0
Arsenal,Independiente,2,1
Godoy Cruz,Gimnasia y Esgrima (LP),2,0
Estudiantes (LP),Banfield,1,0
Central Córdoba (SdE),Unión,0,1
Rosario Central,Defensa y Justicia,2,1
Argentinos Juniors,Boca Juniors,0,1
San Lorenzo,Instituto,2,0
Lanús,Newell's Old Boys,1,0
Tigre,Atlético Tucumán,0,0
Belgrano,Talleres (C),1,1
Colón,Barracas Central,1,1
Sarmiento (J),Huracán,0,0
River Plate,Platense,2,1
Racing Club,Vélez Sarsfield,2,1
Atlético Tucumán,Arsenal,1,0
Gimnasia y Esgrima (LP),Sarmiento (J),0,0
Platense,Belgrano,1,0
Independiente,Lanús,1,1
Barracas Central,San Lorenzo,1,0
Talleres (C),Argentinos Juniors,1,0
Defensa y Justicia,Racing Club,1,1
Boca Juniors,Tigre,1,0
Newell's Old Boys,Godoy Cruz,2,0
Colón,Central Córdoba (SdE),2,2
Banfield,Rosario Central,2,0
Huracán,Unión,0,1
Instituto,Estudiantes (LP),0,0
Vélez Sarsfield,River Plate,2,2
Sarmiento (J),Newell's Old Boys,0,0
Arsenal,Boca Juniors,1,0
Estudiantes (LP),Barracas Central,5,2
Tigre,Talleres (C),1,3
Argentinos Juniors,Platense,1,0
Belgrano,Vélez Sarsfield,2,0
Rosario Central,Instituto,4,1
Central Córdoba (SdE),Huracán,2,0
Racing Club,Banfield,2,0
Unión,Gimnasia y Esgrima (LP),2,0
San Lorenzo,Colón,0,0
Godoy Cruz,Independiente,2,1
Lanús,Atlético Tucumán,2,1
River Plate,Defensa y Justicia,1,0
Barracas Central,Rosario Central,0,0
Independiente,Sarmiento (J),2,0
Platense,Tigre,1,0
Boca Juniors,Lanús,1,1
Talleres (C),Arsenal,1,0
Newell's Old Boys,Unión,1,1
San Lorenzo,Central Córdoba (SdE),0,0
Banfield,River Plate,1,4
Instituto,Racing Club,1,1
Vélez Sarsfield,Argentinos Juniors,0,1
Colón,Estudiantes (LP),1,0
Defensa y Justicia,Belgrano,2,0
Atlético Tucumán,Godoy Cruz,2,1
Gimnasia y Esgrima (LP),Huracán,1,0
Estudiantes (LP),San Lorenzo,1,1
Central Córdoba (SdE),Gimnasia y Esgrima (LP),0,0
Tigre,Vélez Sarsfield,2,1
Racing Club,Barracas Central,1,1
River Plate,Instituto,3,1
Godoy Cruz,Boca Juniors,4,0
Huracán,Newell's Old Boys,1,1
Argentinos Juniors,Defensa y Justicia,3,1
Unión,Independiente,3,0
Lanús,Talleres (C),2,1
Arsenal,Platense,0,2
Rosario Central,Colón,1,1
Sarmiento (J),Atlético Tucumán,4,1
Belgrano,Banfield,3,1
Platense,Lanús,0,1
Atlético Tucumán,Unión,1,0
Vélez Sarsfield,Arsenal,1,0
Barracas Central,River Plate,2,1
San Lorenzo,Rosario Central,1,0
Estudiantes (LP),Central Córdoba (SdE),1,1
Talleres (C),Godoy Cruz,1,1
Independiente,Huracán,1,0
Colón,Racing Club,0,4
Instituto,Belgrano,1,0
Banfield,Argentinos Juniors,1,0
Defensa y Justicia,Tigre,1,0
Boca Juniors,Sarmiento (J),2,0
Newell's Old Boys,Gimnasia y Esgrima (LP),2,2
Lanús,Vélez Sarsfield,0,1
Godoy Cruz,Platense,2,1
Tigre,Banfield,1,2
Rosario Central,Estudiantes (LP),0,0
Racing Club,San Lorenzo,1,1
River Plate,Colón,2,0
Arsenal,Defensa y Justicia,1,2
Unión,Boca Juniors,0,0
Sarmiento (J),Talleres (C),0,1
Argentinos Juniors,Instituto,0,0
Belgrano,Barracas Central,0,2
Huracán,Atlético Tucumán,0,1
Gimnasia y Esgrima (LP),Independiente,1,1
Central Córdoba (SdE),Newell's Old Boys,2,0
Estudiantes (LP),Racing Club,0,0
San Lorenzo,River Plate,0,0
Instituto,Tigre,0,1
Platense,Sarmiento (J),1,0
Vélez Sarsfield,Godoy Cruz,1,1
Banfield,Arsenal,0,0
Defensa y Justicia,Lanús,2,2
Barracas Central,Argentinos Juniors,0,0
Colón,Belgrano,0,0
Boca Juniors,Huracán,1,0
Talleres (C),Unión,0,0
Rosario Central,Central Córdoba (SdE),2,0
Independiente,Newell's Old Boys,0,2
Atlético Tucumán,Gimnasia y Esgrima (LP),2,0
Sarmiento (J),Vélez Sarsfield,1,1
Godoy Cruz,Defensa y Justicia,2,2
Huracán,Talleres (C),0,1
Unión,Platense,0,0
Racing Club,Rosario Central,1,1
River Plate,Estudiantes (LP),3,1
Belgrano,San Lorenzo,0,1
Gimnasia y Esgrima (LP),Boca Juniors,1,3
Lanús,Banfield,2,2
Argentinos Juniors,Colón,1,0
Central Córdoba (SdE),Independiente,0,1
Arsenal,Instituto,0,2
Tigre,Barracas Central,0,1
Newell's Old Boys,Atlético Tucumán,0,0
